"Radicado Inicial","Fecha Ingreso","Nombre Entidad Reguladora","Nombre Proyecto","Sector","Fecha salida abogacia","Recomendación SIC y/o Aparte","Norma Regulatoria Definitiva","Acoge Comentarios SIC","Resumen"
"19-116803","2019 May 23 12:00:00 AM","Superintendencia de Transporte","Proyecto de Resolución ""Por la cual se fijan las tarifas que por concepto de Contribución Especial de vigilancia deben pagar a la Superintendencia de Transporte la totalidad de los sujetos sometidos a su vigilancia, inspección y control para la vigencia 2019""","Transporte","2019 May 31 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 4767 del 22 de julio de 2019","N/A","La Superintendencia de Transporte radicó solicitud de concepto de abogacía de la competencia sobre el Proyecto de Resolución “Por la cual se fijan las tarifas por concepto de Contribución Especial de Vigilancia que deben pagar a la Superintendencia de Transporte la totalidad de los sujetos sometidos a su vigilancia, inspección y control, para la vigencia fiscal de 2019”.

De acuerdo con lo establecido en el artículo 36 de la Ley 1753 de 2015, que sustituye la tasa de vigilancia que se encontraba vigente, en favor de la Superintendencia de Transporte, por una contribución especial diferencial para todos los sujetos sometidos a vigilancia por parte de esta entidad, el Proyecto pretende actualizar las tasas para sujetos a vigilancia integral, objetiva y subjetiva para la vigencia 2019 a 0,1683%, 0,1128% y 0,0555% respectivamente .

Al respecto, la Superintendencia de Industria y Comercio ha encontrado que: (i) el Proyecto cuenta con fundamento legal en la ley que expide el Plan Nacional de Desarrollo 2014-2018, (ii) el establecimiento de tasas diferenciales aboga por el carácter progresivo del sistema tributario colombiano, (iii) el cálculo de cada tarifa diferencial se ha realizado teniendo en cuenta las diferencias en los costos propios de cada uno de los tipos de vigilancia que presta la Superintendencia de Transporte, y (iv) el regulador no encontró incidencia directa del Proyecto sobre la libre competencia económica al resolver el cuestionario de abogacía de la competencia.

Por estos motivos, esta Superintendencia no presentó observaciones al Proyecto, en tanto no se evidenciaron riesgos potenciales sobre la libre competencia económica, aunque sí presentó una propuesta de modificación a una de las fórmulas utilizadas en la metodología de cálculo de tarifas diferenciales, pues tal como está dispuesta actualmente podría prestarse a malas interpretaciones y causar distorsiones derivadas de su implementación en los actores implicados."
"19-123271","2019 May 31 12:00:00 AM","Ministerio de Comercio, Industria y Turismo","Proyecto de Decreto ""Por el cual se adiciona el Título V al Decreto 2147 de 2016, reglamentando la prórroga del término de la declaratoria de existencia de las zonas francas""","Comercio, Industria y Turismo","2019 Jun 05 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Decreto 1054 del 12 de junio de 2019","N/A","El Ministerio de Comercio, Industria y Turismo solicitó a la Superintendencia de Industria y Comercio concepto de abogacía con respecto al proyecto de Decreto por el cual se pretende reglamentar los requisitos y criterios para el otorgamiento de prórrogas del término de declaratoria inicial de existencia de zonas francas.

Tras revisar los documentos remitidos, la Superintendencia destacó que el Proyecto no representa riesgos para la libre competencia económica pues en efecto, el Proyecto corresponde a la materialización de una posibilidad ya prevista en la regulación del régimen de zonas francas vigente en condiciones que, en opinión de esta Superintendencia, no alteran las dinámicas de competencia en el mercado."
"19-120018","2019 May 28 12:00:00 AM","Ministerio de Comercio, Industria y Turismo","Proyecto de Decreto ""Por el cual se hace una adición al Capítulo 1, del Título 1 de la Parte 2 del Libro 2 del Decreto Único Reglametario del Sector Comercio, Industria y Turismo, Decreto 1074 de 2015""","Comercio, Industria y Turismo","2019 Jun 11 12:00:00 AM","Evaluar y monitorear la posibilidad de que los interesados en catalogarse como BIC, puedan efectivamente cumplir los estándares establecidos, para la preparación y presentación del reporte al que alude el Proyecto.

Evaluar y monitorear la posibilidad de que los interesados en catalogarse como BIC, puedan acudir a estándares diferentes a los publicados por la Superintendencia de Sociedades para efectos de la preparación y presentación del reporte al que alude el Proyecto. Lo anterior, sin perjuicio de la función de verificación a cargo de las Cámaras de Comercio y de la Superintendencia de Sociedades.

Evaluar y monitorear que los incentivos que se otorguen con ocasión de la calificación de las sociedades como BIC, no resulten en una magnitud tal que pueda constituir ventajas competitivas que puedan incidir negativamente en las dinámicas comerciales considerando la concurrencia y competencia de sociedades ""BIC"" y socieddes ""No BIC"" en el mercado y en los procesos de compras públicas. 

Evaluar y soportar técnicamente la pertinencia y conveniencia de los incentivos otorgados mediante el Proyecto frente a los propósitos de política pública que se pretenden materializar a través del Proyecto.

Evaluar y monitorear a la luz de las recomendaciones de la OCDE, el impacto que puedan generar las medidas que se pretenden adoptar mediante el Proyecto respecto de la libre concurrencia y competencia de los proponentes en las compras públicas.

Prever en el texto del Proyecto un plazo para la expedición de la reglamentación que permita materializar la aplicación de los incentivos.","Decreto 2046 del 12 de noviembre de  2019","SI","SIN INFORMACIÓN"
"19-19741","2019 Jan 28 12:00:00 AM","Dirección de Impuestos y Aduanas Nacionales","Proyecto de Resolución ""Por el cual se dictan disposiciones para la implementación de los dispositivos electrónicos de seguridad, se fijan los requisitos y condiciones para la selección de los operadores de los mismos y se establecen procedimientos para su utilización en el seguimiento y control de operaciones de comercio exterior""","Hacienda y Crédito Público","2019 Jun 18 12:00:00 AM","Incluir una matriz con criterios de evaluación objetivos, verificables y de carácter público, que la DIAN tenga en cuenta durante las visitas técnicas y las pruebas de campo de las empresas candidatas a operadores de DES.

Realizar una revisión periódica constante de los requerimientos y/o especificaciones técnicas que deben cumplir tanto los DES como el centro de control y monitoreo del operador.  De esta manera se obtendrán mejoras en la calidad y seguridad del servicio, y se incentivará la implementación de los desarrollos tecnológicos, en beneficio de los importadores y del servicio aduanero dentro de un marco de neutralidad tecnológica.

Considedar la inclusión de parámetros objetivos y verificables para la evaluación del requisito de calificación de riesgo favorable, con el fin de brindad criterios claros y específicos, así como una posible retroalimentación para que los operadores puedan subsanar a futuro las condiciones que no les permitieron acreditar una calificación favorable en este aspecto.","Resolución 000044 del 23 de julio de 2019","Parcialmente","SIN INFORMACIÓN"
"19-130547","2019 Jun 11 12:00:00 AM","Instituto Geográfico Agustín Codazzi","Proyecto de Resolución ""Por la cual se establecen las condiciones especiales jurídicas, técnicas, económicas y financieras, que se deben cumplir para la habilitación como gestores catastrales del servicio público catastral, a aquellas asociaciones entre entidades territoriales que suscribieron convenios de delegación de funciones con el Instituto Agustín Codazzi - IGAC - y cumplieron los requisitos de alistamiento previstos en la Resolución 341 de 2017 antes de la entrada en vigencia de la Ley 1955 del 25 de mayo de 2019, pero que a esta fecha no alcanzaron a dar inicio al ejercicio del convenio se habilita como gestor catastral al Área Metropolitana de Centro Occidente - AMCO"".","Estadística","2019 Jun 25 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 817 del 11 de julio de 2019","N/A","El proyecto busca establecer condiciones especiales jurídicas, técnicas, económicas y financieras, que deben cumplir (i) aquellas asociaciones entre entidades territoriales que suscribieron convenios de delegación de funciones con el IGAC y cumplieron los requisitos de la Resolución 341 de 2017, antes de la entrada en vigencia de la Ley 1955 de 2019, pero que a esa fecha no alcanzaron a dar inicio al ejercicio de las funciones catastrales y (ii) aquellas que con posterioridad a la entrada en vigencia del Proyecto estén interesados en habilitarse como gestores catastrales.
La Superintendencia consideró que el proyecto versa sobre la delegación de una función estatal que tiene el carácter de servicio público y no, sobre aspectos asociados a los mercados y/o a las dinámicas de oferta y demanda.
Desde ese punto de vista la Superintendencia no presentó recomendaciones sobre el proyecto, dado que no se observa una incidencia de este sobre la libre competencia económica en los mercados."
"19-108825","2019 May 14 12:00:00 AM","Instituto Nacional de Metrología de Colombia","Proyecto de Resolución ""Por la cual se adopta el documento de lineamientos del INM para la designación de Institutos y su presentación ante la Oficina Internacional de Pesas y Medidas""","Comercio, Industria y Turismo","2019 Jun 28 12:00:00 AM","En la eventualidad en que dos o más entidades envíen su postulación para ser designadas en una misma magnitud metrológica, indicar de la foma más transparente y objetiva  los criterios que serán utilizados para garantizar la idoneidad de la entidad que se ha de seleccionar como instituto designado","Resolución 363 del 21 de agosto de 2019","SI","El Instituto Nacional de Metrología solicitó a la Superintendencia de Industria y Comercio concepto, desde la perspectiva de la política de competencia, sobre un proyecto de resolución cuyo objetivo es adoptar un documento que contenga los lineamientos para realizar la designación de institutos y la presentación de estos ante la autoridad internacional de pesos y medidas. 

Dicha designación la planea realizar el INM en aquellas áreas de metrología en las que, por razones de infraestructura, no ha logrado desarrollar la magnitud de medida, como ocurre con radiación ionizante o fotometría. En este contexto, y con el objetivo de garantizar la trazabilidad metrológica en el país y la custodia de los patrones para las magnitudes que no ha desarrollado el INM, la autoridad metrológica de Colombia busca designar institutos para algunas áreas de metrología.

A partir del análisis realizado, la Superintendencia no encontró, con base en la argumentación que adujo el INM en términos de trazabilidad metrológica, que la designación estuviera en contravía de la libre competencia. En particular, dado que la elección que se pretende realizar no afecta los segmentos de la pirámide de trazabilidad en los que existe competencia, como ocurre con los laboratorios secundarios que prestan el servicio de calibración. De hecho, existen beneficios de la designación, en la medida que se reducen los costos de calibración para los laboratorios ya que es posible acceder al patrón en el país y no es necesario buscar la calibración en el extranjero. 

No obstante, esta Superintendencia recomienda que, en la eventualidad que surjan dos o más entidades para acreditarse como instituto designado de un área de metrología, el INM indique de la forma más transparente y objetiva los criterios que se usan para la selección del candidato."
"19-136107","2019 Jun 18 12:00:00 AM","Comisión de Regulación de Energía y Gas","Proyecto de Resolución ""Por la cual se establecen las reglas generales de comportamiento de mercado para los agentes que desarrollen las actividades de los servicios públicos domiciliarios de energía eléctrica y gas combustible""","Minas y Energía","2019 Jul 04 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Resolución 080 del 5 de julio de 2019","N/A","El proyecto pretende establecer reglas de comportamiento de mercado para los prestadores de los servicios públicos domiciliarios de energía eléctrica y gas combustible y sus actividades complementarias con el fin de prevenir comportamientos contrarios a los principios y obligaciones definidos en la Ley 142 de 1994. 
La SIC analizó el Proyecto y los demás documentos aportados y encuentra que no representa riesgos para la libre competencia económica. Por el contrario, evidencia que tiene por objeto establecer reglas de comportamiento de mercado para los prestadores de los servicios públicos domiciliarios de energía eléctrica y gas combustible encaminadas a promover la libre competencia económica, la transparencia y la protección de los usuarios de estos servicios. 
En consecuencia, la Superintendencia encuentra que las reglas generales de comportamiento incluidas en el Proyecto no solo son congruentes con el régimen de libre competencia económica, sino que también están encaminadas a su promoción."
"19-137026","2019 Jun 18 12:00:00 AM","Ministerio de Minas y Energía","Proyectos de Resolución: (i) ""Por la cual se define e implementa un mecanismo que promueva la contratación de largo plazo para proyectos de generación de energía eléctrica complementario a los mecanismos existentes en el Mercado de Energía Mayorista en cumplimiento de los objetivos establecidos en el Decreto 0570 de 2018."" (ii) Por la cual se convoca a la subasta de contratación de largo plazo para proyectos de generación de energía eléctrica y se definen los parámetros de su aplicación""","Minas y Energía","2019 Jul 04 12:00:00 AM","Analizar con especial atención la estructuración y expedición de los actos administrativos que regulen otros aspectos asociados a la subasta, a efectos de que con estos se garantice la concurrencia en el mecanismo de asignación conforme a lo manifestado en el numeral 4.2 de este concepto.

Evaluar a la luz de la demanda que se predenta satisfacer con la subasta a celebrar, la posibilidad de realizar posteriores procesos de asignación competitiva de acuerdo con lo señalado en el numeral 4.4 de este concepto.

Limitar el porcentaje de energía que podrá ser adquirida producto de la subasta y con la cual se podrá cumplir el mandato establecido en el Artículo 296 de la Ley 1955 de 2019 conforme a lo establecido en el numeral 4.5 de este documento.

Priorizar otras alternativas diferentes a la asignación administrativa que permitan que en el evento en el que por alguna razón las condiciones de competencia, de concentración y/o dominancia que definan las autoridades competentes no se cumplan, se puede llevar a cabo la asignación de la subasta reflejando condiciones de competencia claras.","Resoluciones  4-0590 y 4-0591 del 9 de julio de 2019","Parcialmente","SIN INFORMACIÓN"
"19-124999","2019 Jun 04 12:00:00 AM","Ministerio de Salud y Protección Social","Proyecto de Decreto ""Por el cual se sustituye el Título 11 de la Parte 1 del Libro 2 y se modifican los artículos 2.1.7.11 y 2.5.2.2.1.5 del Decreto 780 de 2016, Único Reglamentario del Sector Salud y Protección Social, en relación con las condiciones para garantizar la continuidad de los afiliados de las Entidades Promotoras de Salud - EPS""","Salud y Protección Social","2019 Jul 16 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","Decreto 1424 del 6 de agosto de 2019","N/A","El Proyecto busca brindar las condiciones de asignación de afiliados, con el objetivo de garantizar la afiliación y prestación de servicios de salud ininterrumpida para los usuarios que se encuentren afiliados a EPS, que atraviesen procesos extraordinarios de liquidación voluntaria o intervención forzosa. En ese orden de ideas, el Proyecto indica que los afiliados a estas EPS afectadas serán asignados de manera proporcional entre las EPS autorizadas para operar y que no cuenten con medidas administrativas en curso; este proceso lo realizará el MSPS con apoyo de la Administradora de los recursos del Sistema General de Seguridad Social en Salud –ADRES, y transcurridos noventa (90) días calendario el afiliado podrá trasladarse a la EPS de su preferencia.
Esta Superintendencia encuentra que en el Proyecto hay dos reglas que tienen la potencialidad de incidir en la libre competencia económica, a saber: (i) asignar los afiliados de la EPS afectada, y (ii) limitar la posibilidad de ser una EPS receptora únicamente a aquellas que no cuenten con medidas administrativas en curso.
En primer lugar, el proceso de asignación de afiliados impacta la libertad de elegir por parte del consumidor, lo cual es una de las prerrogativas propias de la libre competencia económica, sin embargo, esta Superintendencia reconoce que su campo de aplicación son aquellas EPS que atraviesen casos extraordinarios, lo cual se configura en la inminente necesidad de garantizar la continuidad de los servicios de salud a todos los afiliados; además, es una medida transitoria e indispensable que pretende evitar fenómenos de parálisis de decisión en los usuarios, lo cual interrumpiría su afiliación y su correspondiente garantía de derecho fundamental a la salud en estricto sentido.
Ahora bien, en cuanto a la segunda regla, que implica que únicamente 45% del total de EPS que operan en el país podrían ser EPS receptoras, esta Superintendencia observa que aboga por una operación óptima del aseguramiento y por evitar desencadenar situaciones de riesgo financiero en aquellas que por disposición del MSPS deban recibir afiliados.
Así las cosas, esta Superintendencia concluye que el derecho a la libre competencia, rectamente entendido, no se contrapone a intervenciones como la que pretende el Proyecto, pues es una medida coherente y consistente con la inminente necesidad de garantizar el principio de continuidad en la prestación de servicios de salud. Es decir, las reglas analizadas no configuran distorsiones al mercado de aseguramiento en salud, ni representan un riesgo para la libre competencia económica, pues son proporcionales a los hechos que le sirven de causa
El Proyecto busca brindar las condiciones de asignación de afiliados, con el objetivo de garantizar la afiliación y prestación de servicios de salud ininterrumpida para los usuarios que se encuentren afiliados a EPS, que atraviesen procesos extraordinarios de liquidación voluntaria o intervención forzosa. En ese orden de ideas, el Proyecto indica que los afiliados a estas EPS afectadas serán asignados de manera proporcional entre las EPS autorizadas para operar y que no cuenten con medidas administrativas en curso; este proceso lo realizará el MSPS con apoyo de la Administradora de los recursos del Sistema General de Seguridad Social en Salud –ADRES, y transcurridos noventa (90) días calendario el afiliado podrá trasladarse a la EPS de su preferencia.
Esta Superintendencia encuentra que en el Proyecto hay dos reglas que tienen la potencialidad de incidir en la libre competencia económica, a saber: (i) asignar los afiliados de la EPS afectada, y (ii) limitar la posibilidad de ser una EPS receptora únicamente a aquellas que no cuenten con medidas administrativas en curso.
En primer lugar, el proceso de asignación de afiliados impacta la libertad de elegir por parte del consumidor, lo cual es una de las prerrogativas propias de la libre competencia económica, sin embargo, esta Superintendencia reconoce que su campo de aplicación son aquellas EPS que atraviesen casos extraordinarios, lo cual se configura en la inminente necesidad de garantizar la continuidad de los servicios de salud a todos los afiliados; además, es una medida transitoria e indispensable que pretende evitar fenómenos de parálisis de decisión en los usuarios, lo cual interrumpiría su afiliación y su correspondiente garantía de derecho fundamental a la salud en estricto sentido.
Ahora bien, en cuanto a la segunda regla, que implica que únicamente 45% del total de EPS que operan en el país podrían ser EPS receptoras, esta Superintendencia observa que aboga por una operación óptima del aseguramiento y por evitar desencadenar situaciones de riesgo financiero en aquellas que por disposición del MSPS deban recibir afiliados.
Así las cosas, esta Superintendencia concluye que el derecho a la libre competencia, rectamente entendido, no se contrapone a intervenciones como la que pretende el Proyecto, pues es una medida coherente y consistente con la inminente necesidad de garantizar el principio de continuidad en la prestación de servicios de salud. Es decir, las reglas analizadas no configuran distorsiones al mercado de aseguramiento en salud, ni representan un riesgo para la libre competencia económica, pues son proporcionales a los hechos que le sirven de causa"
"19-162993","2019 Jun 22 12:00:00 AM","Superintendencia de Industria y Comercio","Proyecto de Resolución ""Por la cual se modifica la Resolución 88919 de 2017""","Comercio, Industria y Turismo","2019 Aug 14 12:00:00 AM","La Superintendencia no formuló recomendaciones sobre el proyecto.","No fue expedida","N/A","SIN INFORMACIÓN"
"19-179110","2019 Aug 12 12:00:00 AM","Ministerio de Minas y Energía","Proyecto de Decreto ""Por medio del cual se reglamenta el artículo 318 de la Ley 1955 de 2019 y se delega a la Comisión de Regulación de Energía y Gas para establecer un régimen transitorio especial para la región Caribe""","Minas y Energía","2019 Aug 27 12:00:00 AM","Advertir a la CREG sobre la importancia de la función de abogacía de la competencia en el proceso de expedición del proyecto de resolución en el que se especifiquen las condiciones diferenciales específicas que supondrían el régimen transitorio especial para la región Caribe.

Actualizar los costos de AOM conforme a las inversiones que en ese aspecto adelanten los operadores que atiendan el mercado de Electricaribe, conforme con la metodología que se encuentre vigente a la fecha de la actualización.

Incluir en el Proyecto una aclaración que advierta que las pérdidas eficientes serán las que correspondan, considerando la segmentación del mercado atendido por Electricaribe que determine el regulador.

Evaluar el impacto del régimen transitorio a través de un esquema de seguimiento eficiente.","Decreto 1645 del 10 de septiembre de 2019","SI","SIN INFORMACIÓN"
