"No","MES","TRÁMITE","EMPRESAS","RADICACIÓN","FECHA ENTRADA","FECHA SALIDA","ACTO ADMINISTRATIVO (vínculo)","DECISIÓN"
"36","Abril","Pre-evaluación","PROMIGAS S.A. E.S.P. y ZELESTRA CORPORACION, S.A.U.","26-63096","2026 Feb 20 12:00:00 AM","2026 Apr 08 12:00:00 AM","Archivo adjunto","Aprobada"
"37","Abril","Notificación","ONNET FIBRA COLOMBIA S.A.S y ATC FIBRA DE COLOMBIA S.A.S.","26-6866","2026 Jan 09 12:00:00 AM","2026 Apr 06 12:00:00 AM","Archivo adjunto","Desestimiento tacito"
"38","Abril","Notificación","Sodimac Colombia S.A. y Sumatec S.A.S. BIC","26-39461","2026 Feb 04 12:00:00 AM","2026 Apr 06 12:00:00 AM","Archivo adjunto","Notificada"
"39","Abril","Notificación","ABF Overseas Limited y Elementis Pharma GmBH.","26-106978","2026 Mar 20 12:00:00 AM","2026 Apr 06 12:00:00 AM","Archivo adjunto","Notificada"
"40","Abril","Notificación","MINEROS S.A. y ANGLOGOLD ASHANTI COLOMBIA S.A.S.","26-86692","2026 Mar 09 12:00:00 AM","2026 Apr 09 12:00:00 AM","Archivo adjunto","Notificada"
"41","Abril","Notificación","ALICORP COLOMBIA S.A.S. y UNILEVER ANDINA COLOMBIA LTDA.","26-57687","2026 Feb 17 12:00:00 AM","2026 Apr 16 12:00:00 AM","Archivo adjunto","Notificada"
"42","Abril","Notificación","Rhenus Iogistics South America S.A. y LBH Colombia S.A.S. e Inversiones Costa Terra S.A.S.","26-88082","2026 Mar 10 12:00:00 AM","2026 Apr 21 12:00:00 AM","Archivo adjunto","Notificada"
"43","Abril","Pre-evaluación","Ecopetrol S.A., y Gran Tierra Operations Colombia GMBH Sucursal.","26-102314","2026 Mar 18 12:00:00 AM","2026 Apr 29 12:00:00 AM","Archivo adjunto","Aprobada"
"44","Mayo","Notificación","Jerónimo Martins Colombia S.A.S. y Suministros de Materiales Petreos Rangel S.A.S.","26-157169","2026 Apr 20 12:00:00 AM","2026 May 04 12:00:00 AM","Archivo adjunto","Notificada"
"45","Mayo","Notificación","Alimentos Gloria Colombia S.A.S. y Saputo Inc.","26-132350","2026 Apr 01 12:00:00 AM","2026 May 05 12:00:00 AM","Archivo adjunto","Notificada"
"46","Mayo","Notificación","MULTIENLACE S.A.S. y CONTENTO BPS S.A.","26-155572","2026 Apr 20 12:00:00 AM","2026 May 06 12:00:00 AM","Archivo adjunto","Notificada"
