"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44430 - MAICAO","COMERCIALIZADORA 5 ESTRELLAS S.A.S EN LIQUIDACION","20.101.020","20.160.331","2.304.842.510","G4632 ** Comercio al por mayor de bebidas y tabaco","G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados","16"
"44650 - SAN JUAN DEL CESAR","HINOJOSA MENESES RAFAEL EDUARDO","20.101.122","20.220.330","1.826.000.000","G4731 ** Comercio al por menor de combustible para automotores","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","1"
"44001 - RIOHACHA","OXIMELO S.A.S.","20.101.126","20.220.315","517.367.254","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44001 - RIOHACHA","CENTRO DE ENSEÑANZA Y ESTIMULACION HAPPY KIDS S.A.S.","20.110.119","20.220.331","1.160.993.456","P8530 ** Establecimientos que combinan diferentes niveles de educacion",,"16"
"44874 - VILLANUEVA","FRIGORIFICO VILLANUEVA S.A.","20.110.209","20.220.330","5.425.168.597","H5210 ** Almacenamiento y deposito",,"4"
"44001 - RIOHACHA","INCOS S.A.S INGENIERIA CONSULTORIA Y CONSTRUCCIONES","20.110.215","20.220.330","1.372.987.829","F4290 ** Construccion de otras obras de ingenieria civil","F4220 ** Construccion de proyectos de servicio publico","16"
"44001 - RIOHACHA","DIGITALDENT SERVICIOS S.A.S.","20.110.225","20.220.331","908.365.686","Q8691 ** Actividades de apoyo diagnostico",,"16"
"44430 - MAICAO","ENSOL DE COLOMBIA S.A.S. E.S.P","20.110.310","20.220.428","1.500.000.000","F4321 ** Instalaciones electricas","F4112 ** Construccion de edificios no residenciales","16"
"44001 - RIOHACHA","LUSAR INGENIERIA Y CONSTRUCCIONES S.A.S.","20.110.311","20.220.329","1.052.769.361","F4220 ** Construccion de proyectos de servicio publico","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44650 - SAN JUAN DEL CESAR","INVERSIONES MURILLO GIOVANNETTI S.A.S","20.110.315","20.220.331","1.010.000.500","I5511 ** Alojamiento en hoteles","I5611 ** Expendio a la mesa de comidas preparadas","16"
"44001 - RIOHACHA","TECNOSOFT VIRTUAL S.A.S.","20.110.324","20.220.317","2.528.217.049","G4651 ** Comercio al por mayor de computadores  equipo periferico y programas de informatica","G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","16"
"44001 - RIOHACHA","IPS UNIDAD MEDICA GASTRICA S.A.S.","20.110.411","20.210.326","835.719.486","Q8621 ** Actividades de la practica medica  sin internacion",,"16"
