"MUN-COMERCIAL","RAZON SOCIAL","FEC-MATRICULA","FEC-RENOVACION","ACTIVO-TOTAL","CIIU-1","CIIU-2","ORGANIZACION"
"44001 - RIOHACHA","INGEPADICON S.A.S","20.120.607","20.210.330","2.000.000.001","F4290 ** Construccion de otras obras de ingenieria civil","M7111 ** Actividades de arquitectura","16"
"44001 - RIOHACHA","INVERSIONES SANTORO S.A.S.","20.130.718","20.190.330","909.286.941","H5320 ** Actividades de mensajeria","J6190 ** Otras actividades de telecomunicaciones","16"
"44430 - MAICAO","TRICOLOR GROUP S.A.S.","20.130.719","20.220.331","3.909.559.000","G4772 ** Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","16"
"44078 - BARRANCAS","FIGUEROA ORLANIS MARIA","20.130.725","20.210.729","687.254.833","P8530 ** Establecimientos que combinan diferentes niveles de educacion","G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados","1"
"44001 - RIOHACHA","G & S CONSTRUCTORES S.A.S.","20.130.730","20.220.330","5.252.419.556","F4290 ** Construccion de otras obras de ingenieria civil","F4112 ** Construccion de edificios no residenciales","16"
"44001 - RIOHACHA","LINDARTE HENRIQUEZ CARLOS ALBERTO","20.130.802","20.220.520","700.000.000","G4631 ** Comercio al por mayor de productos alimenticios","G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados","1"
"44001 - RIOHACHA","S.E.G.U.G.O S.A.S","20.130.802","20.220.325","6.262.261.204","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","I5511 ** Alojamiento en hoteles","16"
"44078 - BARRANCAS","I.P.S.ANESHI WAYAA S.A.S","20.130.909","20.220.302","2.889.207.474","Q8699 ** Otras actividades de atencion de la salud humana","Q8691 ** Actividades de apoyo diagnostico","16"
"44430 - MAICAO","CONSTRUCTEC L & J SAS","20.130.913","20.220.307","910.760.318","F4220 ** Construccion de proyectos de servicio publico","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","LABORATORIO CLINICO NAYIBE CURE S.A.S.","20.130.913","20.220.315","1.211.719.929","Q8691 ** Actividades de apoyo diagnostico",,"16"
"44001 - RIOHACHA","RB COMUNICACIONES Y MANTENIMIENTOS S.A.S.","20.130.924","20.220.331","3.780.348.443","F4321 ** Instalaciones electricas","C3313 ** Mantenimiento y reparacion especializado de equipo electronico y optico","16"
"44001 - RIOHACHA","M & M INGENIERIA Y CONSTRUCCIONES SAS","20.131.004","20.220.330","10.120.379.510","F4210 ** Construccion de carreteras y vias de ferrocarril","N8010 ** Actividades de seguridad privada","16"
"44078 - BARRANCAS","LOGISTICA & EQUIPOS S.A.S.","20.131.031","20.220.406","11.335.723.000","N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.","N7710 ** Alquiler y arrendamiento de vehiculos automotores","16"
"44430 - MAICAO","INVERSIONES ANDICURI S.A.S","20.131.126","20.200.706","1.151.960.000","G4631 ** Comercio al por mayor de productos alimenticios","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","16"
"44430 - MAICAO","INVERSIONES ARAMENDIS LA S.A.S","20.131.227","20.220.322","1.028.926.373","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","16"
"44001 - RIOHACHA","EL TESORO DISTRIBUCIONES S.A.S","20.140.110","20.220.331","4.353.417.063","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados","16"
"44001 - RIOHACHA","MCDANIEL ASSOCIATES S.A.S","20.140.124","20.220.712","880.345.709","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","16"
"44430 - MAICAO","DEPOSITO FARMASALUD LA S.A.S EN LIQUIDACION","20.140.204","20.170.330","827.552.000","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador",,"16"
"44090 - DIBULLA","BUENO MACIAS ARMANDO EN REESTRUCTURACION","20.140.219","20.220.330","4.686.364.548","I5511 ** Alojamiento en hoteles","I5611 ** Expendio a la mesa de comidas preparadas","1"
"44001 - RIOHACHA","OPTICA CENTRAL IPS SA.S.","20.140.313","20.220.331","675.593.707","Q8692 ** Actividades de apoyo terapeutico","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44001 - RIOHACHA","CENTRO DE DIAGNOSTICO AUTOMOTOR EL WAALEKAI S.A.S","20.140.321","20.220.331","5.386.893.086","M7120 ** Ensayos y analisis tecnicos",,"16"
"44001 - RIOHACHA","VM CONSTRUCTORES S.A.S","20.140.328","20.220.407","3.540.029.302","F4210 ** Construccion de carreteras y vias de ferrocarril","F4112 ** Construccion de edificios no residenciales","16"
"44001 - RIOHACHA","CENTROSALUD DE LA GUAJIRA S.A.S.","20.140.328","20.220.325","2.464.001.439","Q8692 ** Actividades de apoyo terapeutico",,"16"
"44279 - FONSECA","LA NUEVA INMOBILIARIA S.A.S","20.140.407","20.200.530","1.435.871.335","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44001 - RIOHACHA","LIDERTEMP LTDA","20.140.519","20.220.318","3.098.791.209","N7820 ** Actividades de empresas de servicios temporales","N7830 ** Otras actividades de provisión de talento humano","3"
"44001 - RIOHACHA","MAREYGUA Y CIA. S. EN C.","20.140.610","20.220.331","688.574.000","A0161 ** Actividades de apoyo a la agricultura","A0162 ** Actividades de apoyo a la ganaderia","6"
"44001 - RIOHACHA","MAHMOUD YIBARA SAS","20.140.718","20.220.331","3.847.098.232","G4771 ** Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados","G4642 ** Comercio al por mayor de prendas de vestir","16"
"44430 - MAICAO","OLIVERA CORREA ALIRIO DANILO","20.140.719","20.220.324","6.213.216.560","A0141 ** Cria de ganado bovino y bufalino","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","1"
"44001 - RIOHACHA","CONSTRUCO SAS","20.140.725","20.220.405","1.738.753.736","F4290 ** Construccion de otras obras de ingenieria civil","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44090 - DIBULLA","DESARROLLADORA DE PROYECTOS DE INFRAESTRUCTURA DE LA ZONA FRANCA BRISA S.A.S","20.140.829","20.220.331","2.392.131.000","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","H5224 ** Manipulacion de carga","16"
"44430 - MAICAO","SEINN- SOLUCIONES EMPRESARIALES INNOVADORAS SAS","20.140.902","20.200.215","1.366.320.433","N7830 ** Otras actividades de provisión de talento humano","N8211 ** Actividades combinadas de servicios administrativos de oficina","16"
"44001 - RIOHACHA","SAFEDU S.A.S.","20.140.915","20.220.331","1.622.145.198","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","A0162 ** Actividades de apoyo a la ganaderia","16"
"44001 - RIOHACHA","SONRISAS DE AMOR IPS SAS","20.141.002","20.220.310","1.678.605.316","Q8621 ** Actividades de la practica medica  sin internacion","Q8692 ** Actividades de apoyo terapeutico","16"
"44001 - RIOHACHA","IPS PEDIATRICA PASTOR Y MARIA S.A.S.","20.141.002","20.220.401","878.306.495","Q8621 ** Actividades de la practica medica  sin internacion","Q8692 ** Actividades de apoyo terapeutico","16"
"44847 - URIBIA","SEYCOB S.A.S.","20.141.009","20.210.210","545.927.000","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44430 - MAICAO","RAMIREZ YAMILE","20.141.020","20.220.330","625.860.000","H4923 ** Transporte de carga por carretera","N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.","1"
"44430 - MAICAO","LOGISTICA Y COMERCIO EXTERIOR LOGISCOMEX S.A.S.","20.150.108","20.220.411","6.442.760.483","N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.","G4632 ** Comercio al por mayor de bebidas y tabaco","16"
"44430 - MAICAO","ELITSPORT SAS","20.150.126","20.220.330","2.224.503.000","G4772 ** Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados","G4643 ** Comercio al por mayor de calzado","16"
"44001 - RIOHACHA","PAIM DE COLOMBIA S.A.S.","20.150.129","20.220.331","8.024.314.550","F4290 ** Construccion de otras obras de ingenieria civil","F4210 ** Construccion de carreteras y vias de ferrocarril","16"
"44430 - MAICAO","MATEGO LOGISTIC SAS","20.150.210","20.220.331","1.137.500.500","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","16"
"44430 - MAICAO","SERVISUMINISTROS DEL CARIBE G.A.G S.A.S","20.150.226","20.220.722","1.993.094.045","G4731 ** Comercio al por menor de combustible para automotores","G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores","16"
"44001 - RIOHACHA","JC ARQUITECTURA Y CONSTRUCCION S.A.S","20.150.302","20.220.331","3.481.394.700","F4290 ** Construccion de otras obras de ingenieria civil","F4111 ** Construccion de edificios residenciales","16"
"44090 - DIBULLA","PRIMALUNA BEACH HOSTEL","20.150.328","20.220.317","735.480.000","I5519 ** Otros tipos de alojamiento para visitantes",,"16"
"44001 - RIOHACHA","MAGAN S.A.S","20.150.406","20.220.331","2.163.982.843","A0141 ** Cria de ganado bovino y bufalino","A0144 ** Cria de ganado porcino","16"
"44430 - MAICAO","EMPRESA DE VIGILANCIA Y SEGURIDAD PRIVADA LA ANTORCHA LTDA","20.150.414","20.220.331","605.000.000","N8010 ** Actividades de seguridad privada",,"3"
"44001 - RIOHACHA","JACKQUELINE CASTELLANOS IPS SAS","20.150.511","20.220.330","599.664.228","Q8621 ** Actividades de la practica medica  sin internacion","Q8691 ** Actividades de apoyo diagnostico","16"
"44001 - RIOHACHA","CEAN S.A.S.","20.150.603","20.220.318","1.820.569.751","G4690 ** Comercio al por mayor no especializado","N8121 ** Limpieza general interior de edificios","16"
"44001 - RIOHACHA","CONSTRUTECH CONSTRUCCIONES S.A.S","20.150.727","20.220.405","1.324.296.532","F4290 ** Construccion de otras obras de ingenieria civil","M7111 ** Actividades de arquitectura","16"
"44430 - MAICAO","PROYECTOS Y DISTRIBUCIONES LIMA P.D.L SAS","20.150.811","20.220.331","5.054.922.983","G4642 ** Comercio al por mayor de prendas de vestir","G4643 ** Comercio al por mayor de calzado","16"
"44078 - BARRANCAS","CIS INGENIEROS Y CONSULTORES S.A.S","20.150.928","20.220.517","963.115.417","F4210 ** Construccion de carreteras y vias de ferrocarril","M7111 ** Actividades de arquitectura","16"
"44001 - RIOHACHA","TRANSPORTES UNITURS S.A.S","20.151.013","20.220.329","935.880.796","H4921 ** Transporte de pasajeros","H4923 ** Transporte de carga por carretera","16"
"44035 - ALBANIA","AGUAS DE ALBANIA S.A.S.  E.S.P.","20.151.026","20.220.331","2.476.185.000","E3600 ** Captacion  tratamiento y distribucion de agua","F4112 ** Construccion de edificios no residenciales","16"
"44279 - FONSECA","CONSTRUCENTRO COLOMBIA S.A.S","20.151.109","20.220.329","3.826.367.990","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44001 - RIOHACHA","I.P.S. MEDIGROUP SAS","20.151.203","20.220.418","2.654.551.488","Q8621 ** Actividades de la practica medica  sin internacion",,"16"
"44430 - MAICAO","ELECTRO CITYMAX SAS","20.151.215","20.220.326","1.524.168.515","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","G4719 ** Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas (alcohólicas y no alcohólicas) y tabaco","16"
"44001 - RIOHACHA","UNIDAD MEDICA RADIOLÓGICA DEL CARMEN S.A.S","19.880.415","20.220.330","6.970.537.939","Q8691 ** Actividades de apoyo diagnostico",,"16"
"44078 - BARRANCAS","EDIFICAR CONSTRUCCIONES Y CONSULTORIAS S.A.S","20.160.127","20.220.329","510.421.162","M7111 ** Actividades de arquitectura","F4220 ** Construccion de proyectos de servicio publico","16"
"44430 - MAICAO","COMUNICACIONES TERRESTRES DE COLOMBIA S.A.S","20.160.205","20.220.331","819.941.873","J6110 ** Actividades de telecomunicaciones alambricas","J6120 ** Actividades de telecomunicaciones inalambricas","16"
"44430 - MAICAO","PAC INVERSIONES SAS","20.160.205","20.220.325","3.097.674.494","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion",,"16"
"44001 - RIOHACHA","DISTRIBUCIONES ORVE S.A.S","20.160.218","20.220.510","1.020.271.350","G4690 ** Comercio al por mayor no especializado","G4642 ** Comercio al por mayor de prendas de vestir","16"
"44001 - RIOHACHA","S&S MULAMANA  SAS","20.160.307","20.220.309","1.026.459.094","H4922 ** Transporte mixto","A0311 ** Pesca maritima","16"
"44001 - RIOHACHA","ASI ARQUITECTURA SOLUCIONES E INGENIERIA S.A.S","20.160.318","20.220.428","1.064.322.467","F4290 ** Construccion de otras obras de ingenieria civil","F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil","16"
"44430 - MAICAO","DELTA SALUD SAS","20.160.328","20.220.330","1.656.894.000","Q8699 ** Otras actividades de atencion de la salud humana","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44001 - RIOHACHA","SERVICIOS DE SALUD ESPECIALIZADOS S.A.S","20.160.405","20.220.331","848.717.469","Q8699 ** Otras actividades de atencion de la salud humana","Q8610 ** Actividades de hospitales y clinicas  con internacion","16"
"44847 - URIBIA","EINUSHI^I WAKUIPA S.A.S","20.160.506","20.220.527","685.270.000","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","COMERCIALIZADORA EL MAYAL S.A.S","20.160.510","20.190.330","1.538.494.000","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4641 ** Comercio al por mayor de productos textiles  productos confeccionados para uso domestico","16"
"44430 - MAICAO","CONSTRUCTORA ARQUITECTURA MODERNA SAS","20.160.519","20.220.407","912.331.000","M7111 ** Actividades de arquitectura","F4111 ** Construccion de edificios residenciales","16"
"44430 - MAICAO","WORLD ELECTRONICS SAS","20.160.519","20.220.330","610.456.000","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","G4661 ** Comercio al por mayor de combustibles solidos  liquidos  gaseosos y productos conexos","16"
"44001 - RIOHACHA","MF CONSTRUCCIONES S.A.S","20.160.602","20.220.329","2.734.581.511","F4210 ** Construccion de carreteras y vias de ferrocarril","F4220 ** Construccion de proyectos de servicio publico","16"
"44001 - RIOHACHA","ASESORIAS Y SERVICIOS MEDICOS ESPECIALIZADOS DE LA GUAJIRA ASMEG SAS","20.160.628","20.220.524","1.127.716.000","M6910 ** Actividades juridicas","Q8699 ** Otras actividades de atencion de la salud humana","16"
"44279 - FONSECA","SUPER RAPIDAS MAYORISTAS SAS","20.160.706","20.220.408","738.571.170","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","G4631 ** Comercio al por mayor de productos alimenticios","16"
"44430 - MAICAO","J.A IMPORT SAS","20.160.729","20.220.316","1.497.197.903","G4755 ** Comercio al por menor de artículos y utensilios de uso doméstico en establecimientos especializados",,"16"
"44001 - RIOHACHA","ENERGIZZAR S.A.S","20.160.818","20.220.426","863.432.628","G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","C3313 ** Mantenimiento y reparacion especializado de equipo electronico y optico","16"
"44098 - DISTRACCION","UNIDAD DE SALUD MENTAL SENTIRBIEN S.A.S","20.160.818","20.220.331","2.437.994.505","Q8720 ** Actividades de atencion residencial  para el cuidado de pacientes con retardo mental  enfermedad mental y consumo de sustancias psicoactivas","Q8692 ** Actividades de apoyo terapeutico","16"
"44430 - MAICAO","INVERSIONES DEL ORIENTE SAS","20.160.916","20.220.328","1.695.279.000","G4631 ** Comercio al por mayor de productos alimenticios","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44279 - FONSECA","ASESORIAS ROSANIA HELD S.A.S","20.161.005","20.220.331","2.745.611.168","N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.","H4923 ** Transporte de carga por carretera","16"
"44001 - RIOHACHA","DIAZ QUINTERO ZINDY CAROLINA","20.161.005","20.200.306","2.150.483.560","G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","1"
"44279 - FONSECA","ALMACENES LA MEGA S.A.S","20.161.007","20.220.331","2.053.653.229","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","G4754 ** Comercio al por menor de electrodomésticos y gasodomésticos  muebles y equipos de iluminación en establecimientos especializados","16"
"44001 - RIOHACHA","SUMA INGENIERIA S.A.S.","20.161.018","20.220.401","2.247.341.971","G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","C3313 ** Mantenimiento y reparacion especializado de equipo electronico y optico","16"
"44001 - RIOHACHA","ORION ASFALTOS Y CONCRETOS S.A.S.","20.161.102","20.220.419","1.873.608.624","C2399 ** Fabricacion de otros productos minerales no metalicos n.c.p.","B0990 ** Actividades de apoyo para otras actividades de explotacion de minas y canteras","16"
"44650 - SAN JUAN DEL CESAR","AGROINVERSIONES CARACOLI S.A.S","20.161.104","20.220.527","719.693.785","A0150 ** Explotacion mixta (agricola y pecuaria)",,"16"
"44430 - MAICAO","NUTRIR REPRESENTACIONES S.A.S","20.161.223","20.220.329","3.068.810.431","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos",,"16"
"44090 - DIBULLA","NATYBO S.A.S.","20.170.221","20.220.503","2.110.599.018","I5511 ** Alojamiento en hoteles","R9007 ** Actividades de espectaculos musicales en vivo","16"
"44001 - RIOHACHA","SIERRA ENNIS CELINA STELLA","20.170.323","20.220.609","1.116.322.640","K6621 ** Actividades de agentes y corredores de seguros",,"1"
"44847 - URIBIA","GRANERO DEL SOL  NORTE S.A.S","20.170.502","20.220.401","1.226.713.829","G4631 ** Comercio al por mayor de productos alimenticios","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","16"
"44001 - RIOHACHA","PROMACG S.A.S.","20.170.510","20.220.331","703.769.338","I5511 ** Alojamiento en hoteles",,"16"
"44001 - RIOHACHA","SUMAS SAFETY SAS","20.170.428","20.220.331","595.500.000","G4690 ** Comercio al por mayor no especializado","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","16"
"44001 - RIOHACHA","TRANSMILLAS LOGISTICA Y TRANSPORTADORA S.A.S.","20.170.614","20.220.325","1.050.552.890","H4923 ** Transporte de carga por carretera",,"16"
"44001 - RIOHACHA","TECNOFUTURO DEL CARIBE SAS","20.170.630","20.220.331","847.605.000","G4642 ** Comercio al por mayor de prendas de vestir","G4643 ** Comercio al por mayor de calzado","16"
"44001 - RIOHACHA","HD CONSTRUCTORA S.A.S","20.170.724","20.210.721","563.436.000","F4112 ** Construccion de edificios no residenciales","F4111 ** Construccion de edificios residenciales","16"
"44650 - SAN JUAN DEL CESAR","JC INGENIERIA Y CONSULTORIA S.A.S","20.170.726","20.220.307","636.282.640","F4290 ** Construccion de otras obras de ingenieria civil","M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica","16"
"44001 - RIOHACHA","MULTICENTRO SANTA RITA S.A.S","20.170.816","20.200.630","1.247.227.000","G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores","G4661 ** Comercio al por mayor de combustibles solidos  liquidos  gaseosos y productos conexos","16"
"44001 - RIOHACHA","ARCHITEC-CO S.A.S.","20.170.908","20.220.330","502.740.000","F4111 ** Construccion de edificios residenciales","M7111 ** Actividades de arquitectura","16"
"44001 - RIOHACHA","CÍRCULO DE EXCELENCIA GANADERA GUAJIRA NORTE S.A.S.","20.170.929","20.220.408","668.141.913","A0161 ** Actividades de apoyo a la agricultura","A0162 ** Actividades de apoyo a la ganaderia","16"
"44001 - RIOHACHA","HYDRORED S.A.S","20.171.005","20.220.407","1.106.910.056","A0161 ** Actividades de apoyo a la agricultura","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44560 - MANAURE","JOUKTAI-GEN S.A.S","20.171.020","20.210.602","2.941.380.000","D3511 ** Generacion de energia electrica",,"16"
"44430 - MAICAO","SERVIEMPRESA LA GUAJIRA S.A.S","20.171.108","20.220.607","514.939.957","N8130 ** Actividades de paisajismo y servicios de mantenimiento conexos","F4322 ** Instalaciones de fontaneria  calefaccion y aire acondicionado","16"
"44001 - RIOHACHA","INVERSOL SAS","20.180.115","20.220.331","626.951.142","H4923 ** Transporte de carga por carretera","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44430 - MAICAO","P&B PETROLEOS Y BIOCOMBUSTIBLES S.A.S.","20.180.130","20.220.330","3.756.918.965","G4661 ** Comercio al por mayor de combustibles solidos  liquidos  gaseosos y productos conexos",,"16"
"44001 - RIOHACHA","DISTRIBUIDORA DE LACTEOS DE LA GUAJIRA S.A.S.","20.180.202","20.220.331","1.081.651.037","G4722 ** Comercio al por menor de leche  productos lacteos y huevos  en establecimientos especializados",,"16"
"44279 - FONSECA","TRIPLE AAA SOLUCIONES AMBIENTALES DE COLOMBIA  S.A.S E.S.P","20.180.207","20.220.510","539.000.000","E3812 ** Recoleccion de desechos peligrosos","E3900 ** Actividades de saneamiento ambiental y otros servicios de gestion de desechos","16"
"44430 - MAICAO","EMPRESA RADIODIAGNOSTICA DE LA GUAJIRA SAS","20.180.208","20.201.215","508.689.000","Q8691 ** Actividades de apoyo diagnostico","K6521 ** Servicios de seguros sociales de salud","16"
"44001 - RIOHACHA","DISTRIBUIDORA Y PUNTO FRIO LA BODEGA SAS","20.180.213","20.220.331","924.960.506","G4632 ** Comercio al por mayor de bebidas y tabaco","G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados","16"
"44430 - MAICAO","DISTRIBUIDORA DE DROGAS LA EXCELENCIA P.T. SAS","20.180.226","20.220.331","724.427.330","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador",,"16"
"44090 - DIBULLA","NUEVO MINGUEO ZOMAC S.A.S","20.180.227","20.220.331","534.503.587","A0129 ** Otros cultivos permanentes n.c.p.","A0161 ** Actividades de apoyo a la agricultura","16"
"44001 - RIOHACHA","SERVICIOS EDUCATIVOS NICOLAS DE FEDERMAN LIMITADA","19.890.303","20.220.328","913.856.135","P8521 ** Educacion basica secundaria",,"3"
"44001 - RIOHACHA","J.J CONSTRUCTORES CONSULTORES S.A.S","20.170.523","20.220.330","750.354.570","M7020 ** Actividades de consultoria de gestion","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44847 - URIBIA","INVERSIONES Y SOLUCIONES JARAMILLO S.A.S.","20.180.425","20.220.325","1.403.050.000","G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco","G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados","16"
"44001 - RIOHACHA","GRUPO I.M.B IPS S.A.S.","20.180.515","20.210.329","1.357.554.550","Q8610 ** Actividades de hospitales y clinicas  con internacion","Q8621 ** Actividades de la practica medica  sin internacion","16"
"44090 - DIBULLA","INVERSIONES RIAÑO OROZCO S.A.S","20.180.607","20.220.325","739.719.000","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados","16"
"44001 - RIOHACHA","DU PIC ZOMAC S.A.S.","20.180.704","20.220.329","593.856.241","L6820 ** Actividades inmobiliarias realizadas a cambio de una retribucion o por contrata","G4632 ** Comercio al por mayor de bebidas y tabaco","16"
"44001 - RIOHACHA","GESTION DE ACTIVOS MECANICOS-GESTAM SAS","20.180.704","20.220.222","963.569.413","C3311 ** Mantenimiento y reparacion especializado de productos elaborados en metal","B0910 ** Actividades de apoyo para la extraccion de petroleo y de gas natural","16"
"44430 - MAICAO","LOAIZA FABIO JACOB","20.180.714","20.220.331","1.839.059.451","H4923 ** Transporte de carga por carretera","A0141 ** Cria de ganado bovino y bufalino","1"
"44001 - RIOHACHA","INGENIERIA EN INFRAESTRUCTURAS METALICAS S.A.S.","20.180.720","20.220.309","940.624.196","C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo","C3320 ** Instalacion especializada de maquinaria y equipo industrial","16"
"44430 - MAICAO","CONSTRUFERRETERA S.A.S. ZOMAC","20.180.724","20.220.331","828.947.000","G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion","F4111 ** Construccion de edificios residenciales","16"
"44001 - RIOHACHA","PROYECTOS & CONSTRUCCIONES DE LA COSTA S.A.S ZOMAC","20.180.725","20.220.407","3.606.180.645","F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","TALLER DE COLISION ORLANDO CARO S.A.S.","20.180.801","20.210.327","754.074.570","G4520 ** Mantenimiento y reparacion de vehiculos automotores","G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores","16"
"44430 - MAICAO","GOTICAS DE FE SUMINISTRO Y DOTACIONES MEDICAS S.A.S","20.180.803","20.210.420","1.009.376.304","G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.","G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador","16"
"44001 - RIOHACHA","PROYECTOS Y SOLUCIONES DE ARQUITECTURA E INGENIERIA S.A.S","20.180.810","20.220.331","581.942.967","M7111 ** Actividades de arquitectura","F4290 ** Construccion de otras obras de ingenieria civil","16"
"44001 - RIOHACHA","BRIURI S.A.S","20.180.827","20.220.506","715.187.900","A0143 ** Cria de ovejas y cabras","A0161 ** Actividades de apoyo a la agricultura","16"
"44430 - MAICAO","PROCESADORA DE ALIMENTOS M Y M S.A.S","20.180.831","20.220.324","1.295.900.500","C1104 ** Elaboracion de bebidas no alcoholicas  produccion de aguas minerales y otras aguas embotelladas","C1040 ** Elaboracion de productos lacteos","16"
