"Establecimiento","Barrio_Domicilio","Ubicacion_Domicilio","Tipo_Comercio","Medios_Pago"
"Fitness d y m energy","San Francisco","Bodega","Informal","Efectivo, Billeteras Digitales"
"W Elite fitness","Caja Agraria","Local","Formal","Efectivo, Billeteras Digitales"
"Artfood caramelo","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Del estable express","La Carolina","Local","Formal","Efectivo, Billeteras Digitales"
"El rancho Burguer","La Gabrielina","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Hamburguesas con amor","Caja Agraria","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Heladeria Alaska","La Shell","Vivienda","Informal","Efectivo"
"Helados Doña Olí.","El Progreso","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Helados el miguelito","Palo Marcado","Vivienda","Informal","Efectivo"
"Dulce tentación","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Heladeria y frutería Cero grados","Villa Milena","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Heladeria La Tentación","Centro","Local","Formal","Efectivo"
"Casa verde","Vereda Cacayal","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Erika Guerra","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Finca agroturistica villa sofi","La Vara Vereda Cacayal","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Hotel familiar Juanjo","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Hotel restaurante plaza real","La Shell","Otro","Formal","Efectivo, Billeteras Digitales"
"Brillo cars el mono","El Triángulo","Bodega","Formal","Efectivo, Billeteras Digitales"
"Sabanas dulce corazón de María","La Gabrielina","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Interrapidisimo","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Kimlin servientrega","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Alejandra parra Romero odontologia","El Triángulo","Local","Formal","Efectivo, Billeteras Digitales"
"Romero Santamaría","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Welder Jk","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"El taita","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"La inglesa","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Panadería la castellana","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Panadería Trigo y Cafe","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"EKA  RS soluciones","La Shell","Vivienda","Formal","Efectivo"
"Miscelánea amiga","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Papeleria Kevin","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Papeleria la crespa","La Shell","Local","Formal","Efectivo, Billeteras Digitales"
"Papelytos","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Servicio y publicidad araguaney","La Shell","Vivienda","Formal","Efectivo"
"Variedades vanegas","La Shell","Vivienda","Informal","Efectivo"
"Hilos y perlas","Triangulo","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Barbershop a tu estilo","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Ch Analí spa","Carolina","Vivienda","Informal","Efectivo, Billeteras Digitales"
"David barber","Centro","Local","Informal","Efectivo"
"Distri estilo y color","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Estilo Nubi","La Gabrielina","Local","Informal","Efectivo, Billeteras Digitales"
"Fashion koll","La Carolina","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Miradas mágicas","Caja Agraria","Vivienda","Informal","Efectivo, Billeteras Digitales"
"My tatys Nails","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Peluquería Alexandra","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Sala de belleza JL","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Sala de belleza Rochi","Paraíso","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Spa Vanesa Perez","Villa Milena","Local","Informal","Efectivo, Billeteras Digitales"
"Vikingos barbershop","Centro","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Spa arte violeta","El Paraíso","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Spa Daniela Alfonso","La Carolina","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Bendita trinidad","Centro","Vivienda","Informal","Efectivo, Billeteras Digitales"
"M Y R","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Milán","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Afta diseños","La Shell","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Creo Ary","La Gabrielina","Vivienda","Informal","Efectivo"
"Peluditos y emplumados","La Shell","Vivienda","Informal","Efectivo"
"Huellas","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Trival pinturas","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Dinos pizza","La Carolina","Vivienda","Formal","Efectivo, Billeteras Digitales"
"Pizzería James","Villa Checop","Vivienda","Formal","Efectivo, Billeteras Digitales"
"DC ProduccionesYEnventos del llano S.A.S","Villa Milena","Oficina","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito"
"María Rosa","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Milagros","La Carolina","Vivienda","Formal","Efectivo, Billeteras Digitales"
"La magia de la limpieza","Caja Agraria","Vivienda","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"El Rincon de la cocina","Centro","Local","Informal","Efectivo"
"Remontadora de san Benito","Centro","Otro","Informal","Efectivo"
"Caldo parado","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Casero","Centro","Vivienda","Informal","Efectivo, Billeteras Digitales"
"Casino sabor llanero","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"El cafecito doña Marlén","La Carolina","Local","Informal","Efectivo, Billeteras Digitales"
"La grasa al rojo","Santa Teresa","Local","Formal","Efectivo"
"Restaurante el rolo","La Shell","Vivienda","Informal","Efectivo, Billeteras Digitales"
"La brasa al rojo","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Café gourmet el arriero","Centro","Local","Informal","Efectivo, Billeteras Digitales"
"Parque Cacayal","Chichimene","Otro","Formal","Efectivo, Billeteras Digitales, Tarjeta Debito, Tarjeta Crédito"
"Lavandería Qué hay pa’la mente","La Pradera","Local","Formal","Tarjeta Debito"
"Agroferiacampesina","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Ahorro más grand","Paraíso","Local","Formal","Efectivo, Billeteras Digitales"
"El ahorro el toro","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"El granero m y m","Centro","Local","Formal","Efectivo, Billeteras Digitales"
"Surtifruver","El Triángulo","Local","Formal","Efectivo, Billeteras Digitales"
